Country,Date,Confirmed Cases,New Cases,Confirmed Deaths,New Deaths,Income,Region,Population,year,cpm,dpm,new_cases_per_million,new_deaths_per_million,cases_income,deaths_income,new_cases_income,new_deaths_income,cpm_income,dpm_income,new_cpm_income,new_dpm_income,cases_region,deaths_region,new_cases_region,new_deaths_region,cpm_region,dpm_region,new_cpm_region,new_dpm_region
Georgia,17/11/2024,1864383,0,17151,0,Upper middle income,European Region,3757980,,496113.0714,4563.888046,0,0,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
Germany,17/11/2024,38437756,0,174979,0,High income,European Region,83408554,,460837.0983,2097.854376,0,0,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
Ghana,17/11/2024,172227,,1462,,Lower middle income,African Region,32833031,,5245.540687,44.5283288,,,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,9045325,174423,0,0,7779.867385,150.0209013,0,0
Gibraltar,17/11/2024,20550,,113,,High income,,32669,,629036.7015,3458.936607,,,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,1310931,4286,0,0,,,,
Greece,17/11/2024,5736531,2855,39708,29,High income,European Region,10445365,,549193.9248,3801.49473,273.3269733,2.776351042,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
Greenland,17/11/2024,11971,,21,,High income,European Region,56243,,212844.2651,373.3797984,,,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
Grenada,17/11/2024,19693,,238,,Upper middle income,Region of the Americas,124610,,158037.0757,1909.959072,,,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Guadeloupe,17/11/2024,203235,,1021,,,,396051,,513153.609,2577.950819,,,18263911,105690,0,0,,,,,1310931,4286,0,0,,,,
Guam,17/11/2024,52287,,419,,High income,Western Pacific Region,170534,,306607.48,2456.988049,,,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,208587244,421594,1540,9,108395.926,219.088527,0.800287318,0.004677004
Guatemala,17/11/2024,1250394,0,20203,0,Upper middle income,Region of the Americas,17608483,,71010.8872,1147.34472,0,0,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Guernsey,17/11/2024,35326,,67,,,,63065,,560152.2239,1062.395941,,,18263911,105690,0,0,,,,,1310931,4286,0,0,,,,
Guinea,17/11/2024,38582,,468,,Lower middle income,African Region,13531906,,2851.187408,34.58492839,,,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,9045325,174423,0,0,7779.867385,150.0209013,0,0
Guinea-Bissau,17/11/2024,9614,,177,,Low income,African Region,2060721,,4665.357416,85.8922678,,,1944457,43529,0,0,2707.195641,60.60381847,0,0,9045325,174423,0,0,7779.867385,150.0209013,0,0
Guyana,17/11/2024,74491,,1302,,High income,Region of the Americas,804567,,92585.20422,1618.261748,,,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Haiti,17/11/2024,34597,0,860,0,Lower middle income,Region of the Americas,11447569,,3022.213712,75.12512045,0,0,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Vatican City,17/11/2024,26,,0,,,,511,,50880.62622,0,,,18263911,105690,0,0,,,,,1310931,4286,0,0,,,,
Honduras,17/11/2024,472910,0,11114,0,Lower middle income,Region of the Americas,10278345,,46010.32559,1081.302486,0,0,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Hungary,17/11/2024,2236788,142,49102,2,High income,European Region,9709786,,230364.2943,5056.960061,14.62442118,0.205977763,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
Iceland,17/11/2024,210704,8,186,0,High income,European Region,370335,,568955.1352,502.2479647,21.602063,0,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
India,17/11/2024,45044408,62,533656,1,Lower middle income,South-East Asia Region,1407563842,,32001.68025,379.1344904,0.044047736,0.000710447,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,61323334,808857,622,2,29819.66848,393.322509,0.302459644,0.000972539
Indonesia,17/11/2024,6829836,47,162059,0,Upper middle income,South-East Asia Region,273753191,,24948.88178,591.9894464,0.171687496,0,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,61323334,808857,622,2,29819.66848,393.322509,0.302459644,0.000972539
International commercial vessel,17/11/2024,29,,0,,,,,,,,,,18263911,105690,0,0,,,,,1310931,4286,0,0,,,,
American Samoa,17/11/2024,4,,0,,High income,,45035,,88.81980682,0,,,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,1310931,4286,0,0,,,,
International conveyance (Diamond Princess),17/11/2024,712,,13,,,,,,,,,,18263911,105690,0,0,,,,,1310931,4286,0,0,,,,
Kiribati,17/11/2024,2,,0,,Lower middle income,,128874,,15.5190341,0,,,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,1310931,4286,0,0,,,,
Solomon Islands,17/11/2024,5,,0,,Lower middle income,,707851,,7.063633448,0,,,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,1310931,4286,0,0,,,,
Vanuatu,17/11/2024,12,,0,,Lower middle income,,319137,,37.60140629,0,,,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,1310931,4286,0,0,,,,
Iran,17/11/2024,7627863,,146837,,Upper middle income,Eastern Mediterranean Region,87923432,,86755.74675,1670.055373,,,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,23417911,351975,0,0,30756.04211,462.2683007,0,0
Iraq,17/11/2024,2465545,,25375,,Upper middle income,Eastern Mediterranean Region,43533592,,56635.45981,582.8832135,,,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,23417911,351975,0,0,30756.04211,462.2683007,0,0
Ireland,17/11/2024,1751219,194,9903,0,High income,European Region,4986526,,351190.1873,1985.951743,38.90484076,0,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
Isle of Man,17/11/2024,38008,,116,,High income,,84263,,451063.9308,1376.64218,,,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,1310931,4286,0,0,,,,
Israel,17/11/2024,4841558,0,12707,0,High income,European Region,8900059,,543991.6747,1427.743344,0,0,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
Italy,17/11/2024,26826486,0,197542,0,High income,European Region,59240329,,452841.6107,3334.586477,0,0,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,280454924,2277200,37900,165,301302.3726,2446.474297,40.71727378,0.177265176
Jamaica,17/11/2024,157335,1,3619,0,Upper middle income,Region of the Americas,2827695,,55640.72504,1279.841001,0.35364493,0,222912998,2541495,1387,11,88462.32575,1008.584338,0.55042661,0.004365316,192757531,3037994,1649,382,187826.4154,2960.276156,1.606815346,0.372227691
Japan,17/11/2024,33803572,,74694,,High income,Western Pacific Region,124612530,,271269.4462,599.4100272,,,455558910,3457623,40253,546,365744.6293,2775.946238,32.31704669,0.438355091,208587244,421594,1540,9,108395.926,219.088527,0.800287318,0.004677004
Jersey,17/11/2024,66391,,161,,,,109618,,605657.8299,1468.736886,,,18263911,105690,0,0,,,,,1310931,4286,0,0,,,,
Jordan,17/11/2024,1746997,,14122,,Lower middle income,Eastern Mediterranean Region,11148278,,156705.5468,1266.74272,,,78216924,927992,71,1,23026.94485,273.1994499,0.020902293,0.000294398,23417911,351975,0,0,30756.04211,462.2683007,0,0
